Datetime,Change_1D_%,Volume_1D,Change_2D_%,Volume_2D,Change_3D_%,Volume_3D,Change_5D_%,Volume_5D,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive
2022-08-24 00:00:00+00:00,0.32,40461585.0,0.05,85290504.0,-2.02,148773479.0,-3.05,250328160.0,0.51,1.0,0.11,1.0,0.1,1.0
2022-08-25 00:00:00+00:00,1.42,44511969.0,1.74,84973554.0,1.47,129802473.0,-1.95,252386629.0,-1.08,0.0,-1.95,0.0,-2.24,0.0
2022-08-26 00:00:00+00:00,-3.38,88104991.0,-2.01,132616960.0,-1.7,173078545.0,-3.99,281390439.0,0.32,1.0,0.01,1.0,0.43,1.0
2022-08-29 00:00:00+00:00,-0.66,61839848.0,-4.02,149944839.0,-2.66,194456808.0,-2.61,279747312.0,-0.94,0.0,-1.26,0.0,-1.26,0.0
2022-08-30 00:00:00+00:00,-1.11,79178462.0,-1.76,141018310.0,-5.08,229123301.0,-3.43,314096855.0,-0.46,0.0,-0.6,0.0,-0.48,0.0
2022-08-31 00:00:00+00:00,-0.77,63295228.0,-1.86,142473690.0,-2.51,204313538.0,-4.47,336930498.0,-0.17,0.0,-0.62,0.0,-0.4,0.0
2022-09-01 00:00:00+00:00,0.32,72085122.0,-0.45,135380350.0,-1.55,214558812.0,-5.51,364503651.0,0.17,1.0,0.3,1.0,-0.28,0.0
2022-09-02 00:00:00+00:00,-1.05,85161665.0,-0.73,157246787.0,-1.49,220542015.0,-3.23,361560325.0,-0.69,0.0,-0.28,0.0,-0.51,0.0
2022-09-06 00:00:00+00:00,-0.37,69427899.0,-1.42,154589564.0,-1.1,226674686.0,-2.94,369148376.0,0.5,1.0,0.89,1.0,0.78,1.0
2022-09-07 00:00:00+00:00,1.79,62138750.0,1.41,131566649.0,0.35,216728314.0,-0.1,352108664.0,0.63,1.0,1.24,1.0,0.2,1.0
2022-09-08 00:00:00+00:00,0.66,72712498.0,2.46,134851248.0,2.08,204279147.0,1.33,361525934.0,0.59,1.0,0.69,1.0,0.51,1.0
2022-09-09 00:00:00+00:00,1.54,63802500.0,2.21,136514998.0,4.04,198653748.0,2.57,353243312.0,0.59,1.0,0.52,1.0,0.16,1.0
2022-09-12 00:00:00+00:00,1.08,59742296.0,2.63,123544796.0,3.31,196257294.0,4.77,327823943.0,-0.43,0.0,-0.94,0.0,-0.94,0.0
2022-09-13 00:00:00+00:00,-4.34,107630186.0,-3.31,167372482.0,-1.82,231174982.0,0.6,366026230.0,-0.63,0.0,0.02,1.0,-0.02,0.0
2022-09-14 00:00:00+00:00,0.38,74042482.0,-3.98,181672668.0,-2.94,241414964.0,-0.8,377929962.0,-0.05,0.0,-0.22,0.0,-0.63,0.0
2022-09-15 00:00:00+00:00,-1.14,79017890.0,-0.76,153060372.0,-5.07,260690558.0,-2.56,384235354.0,0.04,1.0,-0.17,0.0,-0.46,0.0
2022-09-16 00:00:00+00:00,-1.15,86906919.0,-2.28,165924809.0,-1.91,239967291.0,-5.15,407339773.0,0.91,1.0,0.77,1.0,0.6,1.0
2022-09-19 00:00:00+00:00,0.75,61618934.0,-0.41,148525853.0,-1.54,227543743.0,-5.45,409216411.0,-0.28,0.0,-0.12,0.0,-0.13,0.0
2022-09-20 00:00:00+00:00,-1.12,68151025.0,-0.38,129769959.0,-1.53,216676878.0,-2.28,369737250.0,0.27,1.0,-0.07,0.0,0.1,1.0
2022-09-21 00:00:00+00:00,-1.76,95457504.0,-2.87,163608529.0,-2.14,225227463.0,-4.36,391152272.0,-0.42,0.0,-0.78,0.0,-0.58,0.0
2022-09-22 00:00:00+00:00,-0.84,81725005.0,-2.59,177182509.0,-3.69,245333534.0,-4.08,393859387.0,-0.41,0.0,-0.68,0.0,-1.39,0.0
2022-09-23 00:00:00+00:00,-1.68,105320153.0,-2.51,187045158.0,-4.23,282502662.0,-4.59,412272621.0,0.81,1.0,-0.25,0.0,-0.6,0.0
2022-09-26 00:00:00+00:00,-0.98,81148011.0,-2.65,186468164.0,-3.47,268193169.0,-6.24,431801698.0,-0.33,0.0,-0.79,0.0,-1.58,0.0
2022-09-27 00:00:00+00:00,-0.25,99937353.0,-1.23,181085364.0,-2.89,286405517.0,-5.41,463588026.0,0.56,1.0,0.8,1.0,1.09,1.0
2022-09-28 00:00:00+00:00,1.96,93975770.0,1.7,193913123.0,0.7,275061134.0,-1.82,462106292.0,-1.36,0.0,-1.1,0.0,-1.09,0.0
2022-09-29 00:00:00+00:00,-2.09,100009359.0,-0.17,193985129.0,-0.42,293922482.0,-3.05,480390646.0,0.35,1.0,0.96,1.0,0.17,1.0
2022-09-30 00:00:00+00:00,-1.55,168181885.0,-3.6,268191244.0,-1.71,362167014.0,-2.92,543252378.0,0.9,1.0,1.06,1.0,0.73,1.0
2022-10-03 00:00:00+00:00,2.64,81314584.0,1.05,249496469.0,-1.06,349505828.0,0.63,543418951.0,0.96,1.0,1.3,1.0,1.29,1.0
2022-10-04 00:00:00+00:00,3.1,89520083.0,5.82,170834667.0,4.18,339016552.0,4.01,533001681.0,-0.58,0.0,-0.3,0.0,0.21,1.0
2022-10-05 00:00:00+00:00,-0.21,78488854.0,2.87,168008937.0,5.59,249323521.0,1.79,517514765.0,-0.58,0.0,0.18,1.0,-0.14,0.0
2022-10-06 00:00:00+00:00,-1.05,74567121.0,-1.26,153055975.0,1.8,242576058.0,2.87,492072527.0,-0.69,0.0,-0.79,0.0,-1.2,0.0
