Datetime,SPY_Daily_Close,Change_1D_%,Volume_1D_%,Change_2D_%,Volume_2D_%,Change_3D_%,Volume_3D_%,Change_5D_%,Volume_5D_%,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive,EURUSD=X_Daily_Close,EURUSD=X_Change_1H_%,EURUSD=X_Change_7H_%,EURUSD=X_Change_24H_%,^FTSE_Daily_Close,^FTSE_Change_1H_%,^FTSE_Change_24H_%,^NQSG_Daily_Close,^NQSG_Change_24H_%
2022-04-06 00:00:00+00:00,446.5499877929688,-1.01,48.8,-2.24,35.9,-1.4,-8.11,-2.65,14.86,0.02,1.0,-0.25,0.0,-0.28,0.0,,,,,7580.39013671875,0.22861047505979837,0.35386792516252097,1000.1724243164062,0.19340033508621346
2022-04-07 00:00:00+00:00,448.739990234375,0.49,-29.9,-0.52,44.77,-1.76,8.83,-0.64,-3.37,-0.12,0.0,0.31,1.0,0.54,1.0,,,,,7543.22021484375,-0.08013761160812205,-0.03219984403524112,994.4364013671876,-0.4321978903257473
2022-04-08 00:00:00+00:00,447.6099853515625,-0.25,-3.11,0.24,-17.45,-0.77,25.12,-1.17,-5.93,-0.43,0.0,-0.6,0.0,-0.66,0.0,,,,,7659.81982421875,-0.06327862394188699,1.0315745909886598,986.8748168945312,-1.7666198574971093
2022-04-11 00:00:00+00:00,439.9599914550781,-1.71,16.12,-1.96,-13.7,-1.48,-0.27,-3.68,4.4,0.26,1.0,0.35,1.0,-0.16,0.0,,,,,7615.5498046875,-0.1808842534698929,0.4817201840447982,979.848388671875,-2.9516504584272574
2022-04-12 00:00:00+00:00,438.260009765625,-0.39,-0.41,-2.09,14.05,-2.34,-5.04,-2.85,11.65,0.29,1.0,0.8,1.0,0.82,1.0,,,,,7584.509765625,0.21232677200533345,-0.5533210982014647,973.0112915039062,-2.6504812939244227
2022-04-13 00:00:00+00:00,443.3599853515625,1.16,-16.97,0.77,-2.06,-0.95,-6.46,-0.71,-6.38,-0.51,0.0,-0.34,0.0,-0.78,0.0,,,,,7576.68994140625,0.1218336683296739,-1.005014930850201,975.569091796875,-2.406904415547151
2022-04-14 00:00:00+00:00,437.8599853515625,-1.24,19.85,-0.09,-8.92,-0.48,2.32,-2.42,2.33,0.45,1.0,0.11,1.0,-0.2,0.0,,,,,7611.330078125,0.041401521401618346,0.3261048097305652,978.93798828125,-2.131080569423116
2022-04-18 00:00:00+00:00,437.989990234375,0.03,-28.9,-1.21,-6.98,-0.06,-11.71,-2.15,0.24,1.02,1.0,1.25,1.0,1.21,1.0,1.0786322355270386,,,,7611.330078125,0.041401521401618346,0.3261048097305652,967.8640747070312,-4.000328121528474
2022-04-19 00:00:00+00:00,445.010009765625,1.6,21.33,1.63,-14.21,0.37,-9.64,1.15,-10.19,-0.25,0.0,-0.3,0.0,-0.42,0.0,1.0796804428100586,0.021601182101504968,-0.03238428468148591,0.09717930249950602,7607.919921875,-0.06830570426388238,0.508891325973182,964.3724975585938,-3.5793755044067455
2022-04-20 00:00:00+00:00,444.6600036621094,-0.08,-10.19,1.52,-4.3,1.55,-17.29,1.46,-17.32,0.03,1.0,-0.41,0.0,-1.09,0.0,1.0855406522750854,0.0,0.09769945699196203,0.5427725864677768,7625.93017578125,0.0402776983319475,0.7057115922535218,975.1123046875,-1.9432209694979163
2022-04-21 00:00:00+00:00,438.1600036621094,-1.46,29.23,-1.54,12.86,0.04,3.67,-1.17,-5.73,-0.86,0.0,-0.91,0.0,-1.32,0.0,1.0837758779525757,-0.04335199422471625,-0.08669935796976613,-0.16257100264380764,7629.240234375,0.001312043748780134,0.7084669721433734,980.17919921875,-0.6784667681409506
2022-04-22 00:00:00+00:00,426.0700073242188,-2.76,35.53,-4.18,44.02,-4.26,21.73,-2.69,-0.22,-0.24,0.0,-0.69,0.0,-0.47,0.0,1.080263614654541,0.021611598298010293,0.1728446812123252,-0.3240765336713247,7527.77001953125,-0.16829134392316591,-1.4134941527367384,972.9912719726562,-0.6998140506729977
2022-04-25 00:00:00+00:00,428.5,0.57,3.31,-2.2,55.34,-3.63,60.11,-2.17,18.39,-0.77,0.0,-1.15,0.0,-0.88,0.0,1.0714668035507202,-0.021434827556976455,-0.053575401929517596,-0.9000362303420606,7392.31005859375,0.049940873231069105,-3.057140539138381,962.8101806640624,-1.0484062136706385
2022-04-26 00:00:00+00:00,416.1199951171875,-2.89,-15.55,-2.34,9.65,-5.03,49.42,-6.49,29.59,-0.49,0.0,0.43,1.0,0.98,1.0,1.0646226406097412,-0.021281590595711997,-0.15968722589392303,-0.6387657478792774,7386.52001953125,-0.1793296763989205,-2.348444943646155,957.8165283203124,-1.8197136036633421
2022-04-27 00:00:00+00:00,417.260009765625,0.27,16.28,-2.62,-7.18,-2.07,26.48,-6.16,51.12,-0.9,0.0,-0.37,0.0,0.22,1.0,1.0556317567825315,0.021110505192800666,-0.10556549454525666,-0.844513678767933,7439.25,0.1727626266757154,1.0872014376059447,954.9251098632812,-2.452951944395254
2022-04-28 00:00:00+00:00,427.7900085449219,2.52,-9.99,2.8,1.16,-0.17,1.06,-2.37,50.79,-0.57,0.0,-0.63,0.0,-1.12,0.0,1.0506409406661987,0.05253844825630072,-0.08405105687911973,-0.47278002809846287,7495.06982421875,0.04631489291033741,0.6364393540660096,957.6712036132812,-1.0531304302037858
2022-04-29 00:00:00+00:00,412.0499877929688,-3.68,22.48,-1.25,7.66,-0.98,4.84,-3.29,42.76,0.41,1.0,-0.53,0.0,-0.3,0.0,1.0548522472381592,0.0,-0.05274802528107969,0.44303377908381236,7537.27978515625,0.033970343151668025,1.3403527688478523,967.2540893554688,0.2988048502181595
2022-05-02 00:00:00+00:00,414.489990234375,0.59,25.57,-3.11,30.87,-0.66,17.66,-3.27,33.82,0.17,1.0,0.71,1.0,0.4,1.0,1.051193118095398,-0.010511426839443505,0.021029485175749763,-0.252286391375911,7537.27978515625,0.033970343151668025,1.3403527688478523,963.4614868164062,-1.1948180548113974
2022-05-03 00:00:00+00:00,416.4100036621094,0.46,-38.31,1.06,11.77,-2.66,21.03,0.07,26.16,-0.42,0.0,-0.66,0.0,-0.02,0.0,1.052853226661682,0.0105197075226382,0.08423101940722155,0.1579261258189968,7548.27978515625,0.06402361941424406,0.724848071005102,965.4505004882812,-1.502653672125287
2022-05-04 00:00:00+00:00,429.0,3.02,44.28,3.5,-16.12,4.11,15.57,2.81,19.2,-1.46,0.0,-2.25,0.0,-2.41,0.0,1.0623606443405151,0.13812112791429243,0.6905399740808837,0.9030145359366637,7497.60009765625,-0.22463141636378525,-0.2969452854351795,963.9274291992188,-0.931544098546877
2022-05-05 00:00:00+00:00,413.8800048828125,-3.52,20.01,-0.61,21.1,-0.15,5.24,-3.25,27.01,-0.34,0.0,0.7,1.0,0.23,1.0,1.054185152053833,-0.0843331702560568,0.2635517110679553,-0.7695590315995982,7509.27978515625,-0.32493709954022343,-0.06468273779922651,960.0090942382812,-0.2909282101534516
2022-05-06 00:00:00+00:00,411.3800048828125,-0.6,-14.24,-4.11,31.66,-1.21,19.09,-0.16,27.36,-0.63,0.0,-1.2,0.0,-0.44,0.0,1.0556317567825315,0.05277602334752274,-0.2639121232998698,0.11612197159751592,7411.35986328125,-0.009038305220276932,-1.466697731382094,946.2401123046876,-1.2086256264470463
2022-05-09 00:00:00+00:00,398.239990234375,-3.19,2.44,-3.78,-5.31,-7.17,16.57,-3.92,16.85,-0.81,0.0,-2.07,0.0,-2.31,0.0,1.056970715522766,0.08455786654550934,-0.07398785404570951,0.3382286789356481,7225.68017578125,-0.32059598318391336,-4.36301382478651,935.4860229492188,-2.035666118031565
2022-05-10 00:00:00+00:00,399.0799865722656,0.21,-11.22,-2.99,-10.73,-3.58,4.36,-4.16,22.69,1.16,1.0,0.96,1.0,0.2,1.0,1.0531858205795288,-0.04213390821302676,-0.05266183814364167,-0.35808891274391463,7257.81005859375,-0.2056982538609753,-2.5878390732734458,924.1834106445312,-3.4967943948195357
2022-05-11 00:00:00+00:00,392.7699890136719,-1.58,4.69,-1.37,-8.05,-4.52,-8.03,-8.45,17.04,0.48,1.0,0.73,1.0,0.1,1.0,1.0515247583389282,-0.042053183508716785,-0.19978532524853598,-0.1577178697379833,7344.9599609375,0.07534352155154078,0.7083234973666919,924.8787231445312,-4.380996335634457
